Fecha Local,Fecha UTC,Latitud,Longitud,Profundidad [Km],Magnitud,Referencia Geográfica
2022-01-10 14:20:19,2022-01-10 17:20:19,-26.197,-69.602,100.7,2.7 Ml, 5 km al NE de El Salvador
2022-01-10 08:15:45,2022-01-10 11:15:45,-22.256,-68.643,119.1,3.7 Ml, 38 km al NE de Calama
2022-01-10 07:02:21,2022-01-10 10:02:21,-26.737,-71.111,18.7,3.9 Ml, 47 km al NO de Caldera
2022-01-10 03:52:22,2022-01-10 06:52:22,-21.976,-68.635,130.8,3.9 Ml, 63 km al NE de Calama
2022-01-09 17:07:54,2022-01-09 20:07:54,-23.294,-68.137,118.7,3.0 Ml, 42 km al S de San Pedro de Atacama
2022-01-09 15:58:52,2022-01-09 18:58:52,-26.69,-71.247,25.5,2.9 Ml, 59 km al NO de Caldera
2022-01-09 10:29:32,2022-01-09 13:29:32,-26.66,-71.089,29.9,3.1 Ml, 52 km al NO de Caldera
2022-01-09 09:52:43,2022-01-09 12:52:43,-26.721,-71.146,31.1,4.4 Ml, 50 km al NO de Caldera
2022-01-09 08:36:42,2022-01-09 11:36:42,-21.945,-68.6,137.6,2.9 Ml, 68 km al NE de Calama
2022-01-09 04:53:10,2022-01-09 07:53:10,-23.91,-67.191,226.8,3.9 Ml, 80 km al SE de Socaire
2022-01-10 03:52:19,2022-01-10 06:52:19,-22.046,-68.621,162.1,3.9 Ml, 57 km al NE de Calama
2022-01-08 11:27:09,2022-01-08 14:27:09,-26.678,-71.017,22.5,2.8 Ml, 47 km al NO de Caldera
2022-01-08 11:06:00,2022-01-08 14:06:00,-26.718,-71.124,29.1,2.5 Ml, 49 km al NO de Caldera
2022-01-09 09:52:43,2022-01-09 12:52:43,-26.706,-71.405,33.0,4.5 Ml, 70 km al NO de Caldera
2022-01-08 10:17:00,2022-01-08 13:17:00,-26.911,-71.17,33.6,2.6 Ml, 39 km al NO de Caldera
2022-01-08 08:37:31,2022-01-08 11:37:31,-24.042,-68.873,87.7,2.5 Ml, 31 km al NE de Mina La Escondida.
2022-01-08 08:15:09,2022-01-08 11:15:09,-26.696,-70.999,22.3,2.9 Ml, 45 km al NO de Caldera
2022-01-08 06:38:13,2022-01-08 09:38:13,-26.756,-71.122,37.6,3.1 Ml, 46 km al NO de Caldera
